Quantity,Sales,Customer Name,Month-Year,Month,Year,Order ID,Product Category,Order_ID,Customer_ID
16,223,Stuart Nelson,01-11-2015,11,01-01-2015,276440-11-2015,Apparel,276440-11-2015,2078
0,0,Adrianna Campbell,01-12-2019,12,01-01-2019,798413-12-2019,Dining,798413-12-2019,2072
0,0,Victoria Turner,01-04-2016,4,01-01-2016,158792-4-2016,Accessories,158792-4-2016,2119
46,181,Chelsea Moore,01-06-2015,6,01-01-2015,123052-6-2015,Accessories,123052-6-2015,2079
0,0,Stuart Davis,01-04-2017,4,01-01-2017,736456-4-2017,Health,736456-4-2017,1921
0,0,Adison Douglas,01-02-2016,2,01-01-2016,339856-2-2016,Apparel,339856-2-2016,1848
0,0,Mary Foster,01-06-2019,6,01-01-2019,780557-6-2019,Departmental,780557-6-2019,1817
90,982,Agata Martin,01-09-2015,9,01-01-2015,857945-9-2015,Accessories,857945-9-2015,1607
0,0,Daniel Davis,01-03-2016,3,01-01-2016,372989-3-2016,Travel,372989-3-2016,1538
0,0,Roman Stevens,01-04-2016,4,01-01-2016,830038-4-2016,Apparel,830038-4-2016,1609
0,0,Tony Bailey,01-03-2016,3,01-01-2016,943962-3-2016,Dining,943962-3-2016,1904
0,0,Dainton Robinson,01-09-2016,9,01-01-2016,179929-9-2016,Departmental,179929-9-2016,1647
0,0,Lucy Riley,01-06-2016,6,01-01-2016,418412-6-2016,Apparel,418412-6-2016,1945
46,798,Chelsea Morgan,01-05-2015,5,01-01-2015,743800-5-2015,Books,743800-5-2015,1553
92,751,Fiona Douglas,01-08-2015,8,01-01-2015,343080-8-2015,Books,343080-8-2015,1862
70,902,Arnold Montgomery,01-06-2015,6,01-01-2015,350907-6-2015,Books,350907-6-2015,2024
77,241,Hailey Thompson,01-03-2015,3,01-01-2015,959741-3-2015,Departmental,959741-3-2015,1731
0,0,Melanie Cunningham,01-11-2016,11,01-01-2016,416847-11-2016,Apparel,416847-11-2016,1769
0,0,Richard Cunningham,01-11-2019,11,01-01-2019,943874-11-2019,Health,943874-11-2019,1642
0,0,Lucas Nelson,01-02-2016,2,01-01-2016,952483-2-2016,Apparel,952483-2-2016,1846
0,0,Nicholas Watson,01-09-2017,9,01-01-2017,972824-9-2017,Dining,972824-9-2017,2169
0,0,Alberta Douglas,01-03-2019,3,01-01-2019,779736-3-2019,Dining,779736-3-2019,2035
64,328,Lenny Robinson,01-09-2015,9,01-01-2015,898591-9-2015,Apparel,898591-9-2015,1503
0,0,Emily Nelson,01-07-2018,7,01-01-2018,689377-7-2018,Dining,689377-7-2018,1728
0,0,Miranda Thomas,01-07-2017,7,01-01-2017,800872-7-2017,Apparel,800872-7-2017,1565
0,0,Sienna Harper,01-04-2019,4,01-01-2019,478812-4-2019,Departmental,478812-4-2019,2037
0,0,Florrie Scott,01-06-2016,6,01-01-2016,374038-6-2016,Apparel,374038-6-2016,1530
0,0,Evelyn Henderson,01-10-2018,10,01-01-2018,398984-10-2018,Books,398984-10-2018,2123
0,0,Chester Higgins,01-01-2019,1,01-01-2019,407747-1-2019,Apparel,407747-1-2019,1996
0,0,Sydney Morgan,01-11-2018,11,01-01-2018,862599-11-2018,Books,862599-11-2018,1871
0,0,Martin Bennett,01-06-2017,6,01-01-2017,588231-6-2017,Accessories,588231-6-2017,2043
0,0,Alexia Russell,01-04-2018,4,01-01-2018,597199-4-2018,Books,597199-4-2018,2101
0,0,Kirsten Scott,01-03-2016,3,01-01-2016,978598-3-2016,Departmental,978598-3-2016,1693
0,0,Eric Morris,01-02-2016,2,01-01-2016,604365-2-2016,Dining,604365-2-2016,2201
0,0,Carl Murphy,01-01-2017,1,01-01-2017,863901-1-2017,Travel,863901-1-2017,2048
0,0,Oliver Morris,01-07-2016,7,01-01-2016,855854-7-2016,Travel,855854-7-2016,1802
58,838,Adrian Cole,01-07-2015,7,01-01-2015,944872-7-2015,Travel,944872-7-2015,2130
0,0,Carlos Harper,01-01-2019,1,01-01-2019,323810-1-2019,Books,323810-1-2019,1773
0,0,Steven Bennett,01-03-2018,3,01-01-2018,144639-3-2018,Dining,144639-3-2018,1689
0,0,Justin Craig,01-12-2019,12,01-01-2019,303806-12-2019,Departmental,303806-12-2019,1952
0,0,Elise Turner,01-06-2018,6,01-01-2018,294987-6-2018,Departmental,294987-6-2018,1670
0,0,Savana Baker,01-03-2016,3,01-01-2016,304033-3-2016,Accessories,304033-3-2016,1613
0,0,Charlie Wells,01-11-2017,11,01-01-2017,918216-11-2017,Dining,918216-11-2017,1532
15,989,Ned Davis,01-02-2015,2,01-01-2015,662223-2-2015,Accessories,662223-2-2015,1782
0,0,Roman Stevens,01-05-2019,5,01-01-2019,166648-5-2019,Health,166648-5-2019,1609
0,0,Sabrina Barrett,01-04-2016,4,01-01-2016,601261-4-2016,Books,601261-4-2016,1949
0,0,Eric Barrett,01-02-2016,2,01-01-2016,478091-2-2016,Travel,478091-2-2016,1665
72,863,Emma Taylor,01-05-2015,5,01-01-2015,460072-5-2015,Health,460072-5-2015,2021
0,0,Jenna Hall,01-09-2017,9,01-01-2017,980068-9-2017,Apparel,980068-9-2017,1775
0,0,Miller West,01-11-2019,11,01-01-2019,180237-11-2019,Dining,180237-11-2019,1713
0,0,Sam Watson,01-10-2017,10,01-01-2017,552913-10-2017,Accessories,552913-10-2017,2155
89,287,Ada Fowler,01-09-2015,9,01-01-2015,660502-9-2015,Travel,660502-9-2015,1786
0,0,Byron Carter,01-05-2017,5,01-01-2017,977565-5-2017,Accessories,977565-5-2017,2061
0,0,Steven Walker,01-03-2019,3,01-01-2019,781720-3-2019,Books,781720-3-2019,1694
0,0,Alen Taylor,01-03-2019,3,01-01-2019,305516-3-2019,Dining,305516-3-2019,1755
0,0,Dainton Allen,01-09-2019,9,01-01-2019,419942-9-2019,Health,419942-9-2019,1894
74,562,Edith Murray,01-11-2015,11,01-01-2015,922839-11-2015,Departmental,922839-11-2015,2011
51,758,Amber Richards,01-04-2015,4,01-01-2015,301092-4-2015,Health,301092-4-2015,1738
0,0,James Roberts,01-01-2019,1,01-01-2019,604150-1-2019,Accessories,604150-1-2019,2118
0,0,Lana Spencer,01-06-2017,6,01-01-2017,852071-6-2017,Dining,852071-6-2017,1597
0,0,Lily Spencer,01-01-2018,1,01-01-2018,806322-1-2018,Departmental,806322-1-2018,1692
0,0,Victoria Farrell,01-12-2017,12,01-01-2017,896452-12-2017,Travel,896452-12-2017,1548
0,0,Victor Smith,01-12-2016,12,01-01-2016,213872-12-2016,Departmental,213872-12-2016,2031
0,0,Kimberly Owens,01-08-2017,8,01-01-2017,805749-8-2017,Accessories,805749-8-2017,1524
80,340,Byron Carter,01-02-2015,2,01-01-2015,121281-2-2015,Books,121281-2-2015,2061
0,0,Arnold Montgomery,01-03-2016,3,01-01-2016,310299-3-2016,Departmental,310299-3-2016,2023
0,0,Fiona Douglas,01-01-2017,1,01-01-2017,914518-1-2017,Health,914518-1-2017,1862
15,114,Dainton Nelson,01-12-2015,12,01-01-2015,208356-12-2015,Departmental,208356-12-2015,2127
0,0,Arnold Montgomery,01-01-2016,1,01-01-2016,960214-1-2016,Departmental,960214-1-2016,2024
0,0,Savana Baker,01-06-2017,6,01-01-2017,791997-6-2017,Travel,791997-6-2017,1613
0,0,Sophia Wright,01-05-2018,5,01-01-2018,374861-5-2018,Books,374861-5-2018,2151
0,0,Rebecca Hamilton,01-03-2018,3,01-01-2018,516025-3-2018,Departmental,516025-3-2018,1625
0,0,Harold Anderson,01-06-2017,6,01-01-2017,296659-6-2017,Apparel,296659-6-2017,1660
0,0,Sienna Andrews,01-01-2017,1,01-01-2017,583551-1-2017,Travel,583551-1-2017,2065
0,0,Abigail Craig,01-08-2017,8,01-01-2017,248204-8-2017,Health,248204-8-2017,2030
0,0,Walter Jones,01-08-2016,8,01-01-2016,181955-8-2016,Accessories,181955-8-2016,1663
0,0,Edgar Foster,01-02-2017,2,01-01-2017,574757-2-2017,Accessories,574757-2-2017,1615
0,0,Stuart Davis,01-06-2017,6,01-01-2017,179030-6-2017,Dining,179030-6-2017,1921
0,0,Bruce Chapman,01-03-2017,3,01-01-2017,932512-3-2017,Books,932512-3-2017,1584
0,0,Stuart Roberts,01-09-2018,9,01-01-2018,251945-9-2018,Travel,251945-9-2018,1826
0,0,Joyce Richardson,01-08-2016,8,01-01-2016,174274-8-2016,Books,174274-8-2016,2161
67,716,Isabella Martin,01-03-2015,3,01-01-2015,782905-3-2015,Books,782905-3-2015,2122
0,0,Sarah Nelson,01-03-2016,3,01-01-2016,410034-3-2016,Books,410034-3-2016,2142
0,0,Victoria Turner,01-12-2018,12,01-01-2018,574152-12-2018,Accessories,574152-12-2018,2119
0,0,Julia Ross,01-10-2017,10,01-01-2017,892033-10-2017,Books,892033-10-2017,2214
0,0,Kirsten Armstrong,01-01-2016,1,01-01-2016,710064-1-2016,Departmental,710064-1-2016,1616
0,0,Aiden Chapman,01-10-2019,10,01-01-2019,688786-10-2019,Books,688786-10-2019,2138
0,0,Elise Johnston,01-05-2017,5,01-01-2017,920616-5-2017,Health,920616-5-2017,1608
0,0,Carlos Harper,01-06-2017,6,01-01-2017,680929-6-2017,Books,680929-6-2017,1773
0,0,Edith Murray,01-04-2018,4,01-01-2018,766781-4-2018,Health,766781-4-2018,2011
0,0,Jack Ross,01-10-2016,10,01-01-2016,370212-10-2016,Apparel,370212-10-2016,1829
0,0,Antony Hunt,01-12-2018,12,01-01-2018,780101-12-2018,Apparel,780101-12-2018,2033
0,0,Gianna Warren,01-12-2018,12,01-01-2018,658829-12-2018,Books,658829-12-2018,1745
0,0,Tara Gray,01-05-2016,5,01-01-2016,776476-5-2016,Books,776476-5-2016,2145
0,0,Charlotte Fowler,01-09-2018,9,01-01-2018,125458-9-2018,Dining,125458-9-2018,1912
0,0,Edward Sullivan,01-05-2017,5,01-01-2017,779210-5-2017,Departmental,779210-5-2017,2182
38,849,Charlotte Fowler,01-02-2015,2,01-01-2015,324284-2-2015,Books,324284-2-2015,1912
0,0,Dale Jones,01-08-2017,8,01-01-2017,983242-8-2017,Books,983242-8-2017,2213
0,0,Clark Evans,01-11-2017,11,01-01-2017,742892-11-2017,Travel,742892-11-2017,1923
0,0,Adrian Cole,01-12-2016,12,01-01-2016,190018-12-2016,Dining,190018-12-2016,2130
0,0,Alexander Adams,01-08-2016,8,01-01-2016,936592-8-2016,Accessories,936592-8-2016,1600
0,0,Martin Hawkins,01-10-2019,10,01-01-2019,287921-10-2019,Health,287921-10-2019,1981
0,0,Chester Fowler,01-01-2016,1,01-01-2016,863004-1-2016,Apparel,863004-1-2016,1695
0,0,Emma Davis,01-08-2018,8,01-01-2018,814578-8-2018,Travel,814578-8-2018,1628
0,0,Abigail Ferguson,01-04-2016,4,01-01-2016,792339-4-2016,Health,792339-4-2016,2100
17,756,Miley Hall,01-11-2015,11,01-01-2015,171886-11-2015,Departmental,171886-11-2015,2178
0,0,Jessica Barnes,01-02-2016,2,01-01-2016,373730-2-2016,Apparel,373730-2-2016,2167
15,597,Chelsea Morris,01-09-2015,9,01-01-2015,394935-9-2015,Health,394935-9-2015,2179
0,0,Preston Johnson,01-04-2017,4,01-01-2017,965929-4-2017,Accessories,965929-4-2017,2109
0,0,Edgar Murray,01-09-2019,9,01-01-2019,773420-9-2019,Books,773420-9-2019,1867
0,0,Natalie Harrison,01-02-2017,2,01-01-2017,574548-2-2017,Travel,574548-2-2017,1698
0,0,James Payne,01-11-2019,11,01-01-2019,267483-11-2019,Dining,267483-11-2019,2124
0,0,Olivia Armstrong,01-09-2017,9,01-01-2017,776770-9-2017,Apparel,776770-9-2017,2175
0,0,Dexter Armstrong,01-11-2018,11,01-01-2018,171385-11-2018,Travel,171385-11-2018,1936
0,0,Vanessa Morrison,01-01-2019,1,01-01-2019,988441-1-2019,Apparel,988441-1-2019,2080
0,0,Tiana Watson,01-06-2019,6,01-01-2019,201780-6-2019,Dining,201780-6-2019,1563
0,0,Jessica Morgan,01-10-2016,10,01-01-2016,589672-10-2016,Books,589672-10-2016,1560
0,0,Preston Davis,01-07-2019,7,01-01-2019,958031-7-2019,Books,958031-7-2019,2085
0,0,Jasmine Jones,01-08-2019,8,01-01-2019,948800-8-2019,Departmental,948800-8-2019,1720
52,333,Emma Davis,01-02-2015,2,01-01-2015,566500-2-2015,Books,566500-2-2015,1628
0,0,Henry Scott,01-06-2018,6,01-01-2018,214951-6-2018,Accessories,214951-6-2018,2160
0,0,Isabella Martin,01-09-2016,9,01-01-2016,723056-9-2016,Accessories,723056-9-2016,2122
0,0,Kevin Campbell,01-02-2017,2,01-01-2017,407875-2-2017,Dining,407875-2-2017,1716
0,0,Charlie Mason,01-01-2017,1,01-01-2017,304411-1-2017,Accessories,304411-1-2017,2218
55,151,Marcus Clark,01-10-2015,10,01-01-2015,731558-10-2015,Apparel,731558-10-2015,1678
0,0,Gianna Hamilton,01-09-2016,9,01-01-2016,707889-9-2016,Accessories,707889-9-2016,1777
0,0,Maximilian Bailey,01-03-2016,3,01-01-2016,897137-3-2016,Apparel,897137-3-2016,2198
0,0,Madaline Grant,01-04-2018,4,01-01-2018,204317-4-2018,Dining,204317-4-2018,2036
0,0,Olivia Armstrong,01-02-2016,2,01-01-2016,641646-2-2016,Accessories,641646-2-2016,2175
0,0,Alberta Evans,01-07-2018,7,01-01-2018,532141-7-2018,Books,532141-7-2018,1798
0,0,Nicole Kelley,01-05-2019,5,01-01-2019,795737-5-2019,Dining,795737-5-2019,1926
0,0,Isabella Farrell,01-09-2018,9,01-01-2018,154980-9-2018,Departmental,154980-9-2018,2197
0,0,Martin Hawkins,01-04-2019,4,01-01-2019,478310-4-2019,Departmental,478310-4-2019,1981
0,0,Joyce Richardson,01-11-2017,11,01-01-2017,741514-11-2017,Travel,741514-11-2017,2161
0,0,Maddie Edwards,01-02-2018,2,01-01-2018,391586-2-2018,Departmental,391586-2-2018,1795
79,334,Alan Thomas,01-09-2015,9,01-01-2015,139709-9-2015,Health,139709-9-2015,2103
0,0,Isabella Warren,01-04-2018,4,01-01-2018,335521-4-2018,Dining,335521-4-2018,2181
15,494,Grace Reed,01-10-2015,10,01-01-2015,215895-10-2015,Accessories,215895-10-2015,1763
60,694,Jordan Richardson,01-02-2015,2,01-01-2015,874323-2-2015,Apparel,874323-2-2015,2200
33,682,Violet Martin,01-10-2015,10,01-01-2015,934106-10-2015,Travel,934106-10-2015,1562
0,0,Miller West,01-06-2016,6,01-01-2016,502236-6-2016,Departmental,502236-6-2016,1713
0,0,Abraham Dixon,01-02-2019,2,01-01-2019,386296-2-2019,Dining,386296-2-2019,1794
0,0,Jordan Miller,01-02-2018,2,01-01-2018,776823-2-2018,Apparel,776823-2-2018,2052
0,0,Caroline Johnson,01-10-2017,10,01-01-2017,728252-10-2017,Departmental,728252-10-2017,1676
0,0,Jordan Armstrong,01-12-2018,12,01-01-2018,204349-12-2018,Travel,204349-12-2018,1997
0,0,Adrian Clark,01-07-2019,7,01-01-2019,402723-7-2019,Books,402723-7-2019,1858
0,0,Reid Carroll,01-10-2017,10,01-01-2017,999886-10-2017,Departmental,999886-10-2017,1956
0,0,Alissa Myers,01-07-2017,7,01-01-2017,804534-7-2017,Apparel,804534-7-2017,1840
0,0,Carl Chapman,01-12-2019,12,01-01-2019,126862-12-2019,Travel,126862-12-2019,2191
19,143,Alfred Spencer,01-03-2015,3,01-01-2015,515921-3-2015,Accessories,515921-3-2015,2025
0,0,Maximilian Bailey,01-09-2019,9,01-01-2019,433104-9-2019,Apparel,433104-9-2019,2198
0,0,Oliver Holmes,01-06-2017,6,01-01-2017,887279-6-2017,Dining,887279-6-2017,2189
83,189,Joyce Richardson,01-06-2015,6,01-01-2015,446459-6-2015,Travel,446459-6-2015,2161
0,0,Ned Jones,01-10-2016,10,01-01-2016,258472-10-2016,Books,258472-10-2016,2190
0,0,Isabella Farrell,01-03-2019,3,01-01-2019,350159-3-2019,Health,350159-3-2019,2197
0,0,Foster Preston,01-02-2016,2,01-01-2016,356680-2-2016,Travel,356680-2-2016,1842
0,0,Spencer Kelvin,01-09-2019,9,01-01-2019,656775-9-2019,Health,656775-9-2019,1640
0,0,Mason Sam,01-07-2017,7,01-01-2017,319546-7-2017,Books,319546-7-2017,1509
0,0,Arnold Montgomery,01-10-2016,10,01-01-2016,506617-10-2016,Departmental,506617-10-2016,2024
0,0,Heather Harper,01-09-2019,9,01-01-2019,673505-9-2019,Accessories,673505-9-2019,1753
0,0,Cooper Robert,01-11-2019,11,01-01-2019,189099-11-2019,Dining,189099-11-2019,2148
0,0,Lucas Henderson,01-07-2018,7,01-01-2018,550625-7-2018,Health,550625-7-2018,1776
0,0,Miller Ted,01-08-2019,8,01-01-2019,353294-8-2019,Departmental,353294-8-2019,1818
0,0,Parker Kristian,01-05-2016,5,01-01-2016,484234-5-2016,Travel,484234-5-2016,2128
0,0,Barrett Chelsea,01-08-2019,8,01-01-2019,313755-8-2019,Apparel,313755-8-2019,2193
0,0,Miranda Thomas,01-04-2017,4,01-01-2017,592352-4-2017,Travel,592352-4-2017,1565
0,0,Agata Cole,01-07-2018,7,01-01-2018,489051-7-2018,Accessories,489051-7-2018,2110
0,0,Moore Alexia,01-06-2016,6,01-01-2016,572517-6-2016,Travel,572517-6-2016,1868
0,0,Ryan Mason,01-02-2018,2,01-01-2018,524936-2-2018,Dining,524936-2-2018,2171
0,0,Hailey Thompson,01-04-2018,4,01-01-2018,378605-4-2018,Dining,378605-4-2018,1731
55,287,Kevin Campbell,01-01-2015,1,01-01-2015,498569-1-2015,Accessories,498569-1-2015,1716
0,0,Foster Preston,01-01-2018,1,01-01-2018,657778-1-2018,Departmental,657778-1-2018,1699
0,0,Spencer Kelvin,01-03-2019,3,01-01-2019,416395-3-2019,Accessories,416395-3-2019,1710
0,0,Mason Sam,01-11-2016,11,01-01-2016,634385-11-2016,Books,634385-11-2016,2002
0,0,Heather Harper,01-01-2018,1,01-01-2018,996113-1-2018,Departmental,996113-1-2018,1549
0,0,Cooper Robert,01-01-2016,1,01-01-2016,578084-1-2016,Books,578084-1-2016,2113
0,0,Carl Murphy,01-12-2019,12,01-01-2019,664526-12-2019,Health,664526-12-2019,2048
0,0,Lucas Henderson,01-04-2017,4,01-01-2017,916428-4-2017,Travel,916428-4-2017,2083
0,0,Miller Ted,01-06-2016,6,01-01-2016,613622-6-2016,Health,613622-6-2016,2041
0,0,Parker Kristian,01-04-2016,4,01-01-2016,225491-4-2016,Books,225491-4-2016,1950
0,0,Barrett Chelsea,01-02-2018,2,01-01-2018,298523-2-2018,Books,298523-2-2018,1724
97,906,Agata Cole,01-09-2015,9,01-01-2015,313524-9-2015,Departmental,313524-9-2015,1854
0,0,Moore Alexia,01-09-2019,9,01-01-2019,887027-9-2019,Accessories,887027-9-2019,1517
0,0,Barrett Chelsea,01-03-2019,3,01-01-2019,158238-3-2019,Dining,158238-3-2019,2193
0,0,Oliver Barrett,01-07-2017,7,01-01-2017,779832-7-2017,Departmental,779832-7-2017,2139
0,0,James Stevens,01-11-2016,11,01-01-2016,628494-11-2016,Accessories,628494-11-2016,1705
0,0,Ryan Mason,01-09-2016,9,01-01-2016,840357-9-2016,Departmental,840357-9-2016,1943
0,0,Joyce Hall,01-11-2019,11,01-01-2019,737994-11-2019,Accessories,737994-11-2019,1855
0,0,Caroline Grant,01-02-2017,2,01-01-2017,883393-2-2017,Accessories,883393-2-2017,1852
0,0,Adam Bailey,01-04-2016,4,01-01-2016,640215-4-2016,Travel,640215-4-2016,2188
68,901,Joyce Richardson,01-10-2015,10,01-01-2015,238664-10-2015,Health,238664-10-2015,2161
0,0,Dominik Harris,01-11-2017,11,01-01-2017,333405-11-2017,Apparel,333405-11-2017,1974
0,0,Lana Scott,01-12-2016,12,01-01-2016,305753-12-2016,Health,305753-12-2016,1831
0,0,Alexander Adams,01-02-2017,2,01-01-2017,222004-2-2017,Health,222004-2-2017,1600
0,0,Sophia Johnson,01-10-2019,10,01-01-2019,134222-10-2019,Accessories,134222-10-2019,1696
0,0,Stuart Foster,01-10-2018,10,01-01-2018,413335-10-2018,Apparel,413335-10-2018,1617
0,0,Sarah Miller,01-01-2018,1,01-01-2018,799717-1-2018,Books,799717-1-2018,1536
47,398,Andrew Douglas,01-02-2015,2,01-01-2015,635003-2-2015,Books,635003-2-2015,1813
0,0,Max Hunt,01-08-2017,8,01-01-2017,292480-8-2017,Apparel,292480-8-2017,1900
28,273,Lana Clark,01-10-2015,10,01-01-2015,189419-10-2015,Dining,189419-10-2015,1734
0,0,Nicole Moore,01-02-2017,2,01-01-2017,227786-2-2017,Books,227786-2-2017,2092
0,0,Daniel Davis,01-02-2019,2,01-01-2019,619223-2-2019,Apparel,619223-2-2019,1538
0,0,Joyce Richardson,01-12-2016,12,01-01-2016,863106-12-2016,Travel,863106-12-2016,2161
0,0,Olivia Carter,01-12-2018,12,01-01-2018,872177-12-2018,Travel,872177-12-2018,1830
